"CHEM_COMP_ID","SMILES"
"7AN","c1ccc2[nH]ccc2c1"
"8GQ","c1cn[nH]c1"
"7AN","c1ccccc1"
"BSH","CNS(=O)(=O)Cc1ccccc1"
"BSH","CS(=O)(=O)NCCc1ccccc1"
"7AN","c1cc[nH]c1"
"8AG","OCC1OCCC1O"
"8GQ","c1cncnc1"
"DKK","c1ccccc1"
"8GQ","CC(=O)Nc1ccccc1O"
"DKK","c1ccncc1"
"DKK","Cc1ccccc1CC(N)=O"
"8GQ","CN1CCC[C@@H]1CO"
"N20","C1CCCCC1"
"YHX","c1ccccc1"
"YHX","c1ccncc1"
"8AG","c1ccc2ccccc2c1"
"YHX","c1ccc2ncccc2c1"
"8R4","C1CCCC1"
"8R4","c1ccoc1"
"8R4","c1ccccc1"
"8R4","c1ccncc1"
"LDY","OC1CCCCO1"
"GDI","CC(N)=O"
"GDI","NCC=O"
"E4Z","CC(N)=O"
"GDI","c1ccccc1"
"E4Z","c1ccccc1"
"E4Z","c1ccncc1"
"MFG","c1ccccc1"
"3X7","c1ccccc1"
"3X7","c1ccncc1"
"689","c1ccccc1"
"3X7","c1cc[nH]c1"
"9BP","CC(N)=O"
"G92","c1ccc2ncncc2c1"
"H6M","CC(N)=O"
"H6M","c1ccncc1"
"H6M","c1cncnc1"
"CZJ","CC(N)=O"
"CZJ","C1CCCCC1"
"H6M","CC(=O)N1CCCNCC1"
"9BP","NCC=O"
"CZJ","c1ccccc1"
"FNQ","c1ccccc1"
"FNQ","c1cn[nH]c1"
"FNQ","c1ccncc1"
"FNQ","c1cncnc1"
"TNY","CC(N)=O"
"TNY","NCC=O"
"56B","O=P(O)(O)O"
"56B","c1cncnc1"
"56B","c1cc[nH]c1"
"56B","OCC1OCC(O)C1O"
"COH","C1~C~C2~C~C3~C~C~C(~C~C4~C~C~C(~C~C5~C~C~C(~C~C~1~N~2)~N~5)~N~4)~N~3"
"COH","c1cc[nH]c1"
"CZJ","OC1CCCCO1"
"GFC","OCC1OCCC1O"
"GFC","c1c[nH]cn1"
"GFC","O=P(O)(O)O"
"CZJ","CNC(=O)CCC1CCCCC1"
"8AG","c1ccccc1"
"GFC","c1ncc2[nH]cnc2n1"
"GFC","c1cncnc1"
"Z0B","c1ccncc1"
"Z0B","c1ccsc1"
"TNY","OC1CCCCO1"
"10N","c1ccccc1"
"GDT","CC(N)=O"
"8AG","O=P(O)(O)O"
"8AG","c1cncnc1"
"N20","Nc1nc(O)c2[nH]cnc2n1"
"N20","c1c[nH]cn1"
"GDT","NCC=O"
"10N","c1ccncc1"
"N20","Oc1ncnc2nc[nH]c12"
"N20","c1ccccc1"
"RT1","c1ccccc1"
"10N","c1cc[nH]c1"
"CIQ","C1CCCCC1"
"CIQ","c1ccccc1"
"MM9","CC(N)=O"
"MM9","C1CCCCC1"
"CIQ","c1cncnc1"
"CIQ","c1ccc2ncncc2c1"
"80R","c1c[nH]cn1"
"80R","c1ccccc1"
"2UK","CC(N)=O"
"2UK","c1c[nH]cn1"
"N20","c1ncc2[nH]cnc2n1"
"2UK","O=P(O)(O)O"
"2UK","c1ncc2[nH]cnc2n1"
"KSM","c1c[nH]cn1"
"KSM","c1ccccc1"
"KSM","C1CNCCN1"
"N20","c1cncnc1"
"2UK","c1cncnc1"
"2UK","OCC1OCC(O)C1O"
"2UK","CNc1ncccn1"
"MM9","NCC=O"
"MM9","c1ccccc1"
"49R","c1ccccc1"
"I4P","C1CCCCC1"
"N20","CNc1nccc(OC)n1"
"I4P","O=P(O)(O)O"
"N20","CNc1ncccn1"
"FV8","CC(N)=O"
"KSM","c1cnccn1"
"FV8","c1c[nH]cn1"
"FV8","NCC=O"
"FV8","c1ccccc1"
"MM9","CNCCC1CCCCC1"
"KSM","c1ccc2nccnc2c1"
"10N","CS(=O)(=O)Nc1ccccn1"
"H6H","CC(N)=O"
"A37","c1ccc2ocnc2c1"
"A37","c1cocn1"
"A37","c1ccccc1"
"A37","CNS(=O)(=O)c1ccccc1Cl"
"XGL","c1c[nH]cn1"
"AZL","CC(N)=O"
"AZL","NCC=O"
"AZL","c1ccccc1"
"E7N","c1ccccc1"
"E7N","C1CNCCN1"
"6EL","CC(N)=O"
"E7N","c1ccncc1"
"6EL","NCC=O"
"6EL","c1ccccc1"
"RAC","CC(N)=O"
"XGL","O=P(O)(O)O"
"XGL","c1ncc2[nH]cnc2n1"
"XGL","c1cncnc1"
"4GH","CC(N)=O"
"RAC","c1ccccc1"
"EME","NCC=O"
"4GH","OC1CCCCO1"
"OCY","NCC=O"
"UPA","Nc1ncnc2nc[nH]c12"
"UPA","c1c[nH]cn1"
"UPA","O=P(O)(O)O"
"UPA","c1ncc2[nH]cnc2n1"
"H7A","c1ccoc1"
"H7A","c1ccccc1"
"H7A","c1ccc2c(c1)CCCO2"
"H7A","CC(NS(C)(=O)=O)c1ccccc1"
"H7A","NC(CCO)c1ccccc1"
"UPA","c1cncnc1"
"UPA","OCC1OCC(O)C1O"
"3CZ","c1ccccc1"
"YPE","c1ccc2ccccc2c1"
"3CZ","C1CNCCN1"
"YPE","c1ccc2c(c1)ccc1ccccc12"
"3CZ","CCN(CC)S(=O)(=O)c1ccc(C)cc1"
"MEL","CC(N)=O"
"MEL","C1CCCCC1"
"H6H","c1ccc2ccccc2c1"
"4EZ","c1cncnc1"
"NNH","NCC=O"
"SHB","OC1CCCCO1"
"5R5","NCC=O"
"Q3C","c1ccccc1"
"YPE","c1ccccc1"
"GF2","c1c[nH]cn1"
"YPE","O=P(O)(O)O"
"GF2","O=P(O)(O)O"
"6KL","CC(N)=O"
"MEL","NCC=O"
"Q3C","c1ccncc1"
"E1J","CC(N)=O"
"6KL","OC1CCCCO1"
"Q3C","c1ccc2ncccc2c1"
"TTR","c1ccc2[nH]ccc2c1"
"MEL","c1ccccc1"
"MEL","CNCCC1CCCCC1"
"9BE","c1ccccc1"
"4EZ","c1cc[nH]c1"
"TTR","c1ccccc1"
"F18","c1ccccc1"
"6KZ","CC(N)=O"
"6KZ","c1ncon1"
"6KZ","NCC=O"
"TTR","c1cc[nH]c1"
"F18","c1cn[nH]c1"
"OSB","c1ccccc1"
"6KZ","c1ccccc1"
"H6H","NCC=O"
"H6H","c1ccccc1"
"H17","CC(N)=O"
"H6H","c1cncnc1"
"H6H","c1cc[nH]c1"
"H6H","CNc1ncccn1"
"H17","c1ccccc1"
"VNJ","c1ccccc1"
"CX9","c1c[nH]cn1"
"E1J","c1ccccc1"
"E1J","c1cncnc1"
"CX9","c1ncc2[nH]cnc2n1"
"DPY","OCC1OCCC1O"
"BXX","OCC1OCC(O)C1O"
"GF2","c1ncc2[nH]cnc2n1"
"GF2","c1cncnc1"
"HUT","CC(N)=O"
"HUT","c1ccc2[nH]ccc2c1"
"HUT","NCC=O"
"HUT","c1ccccc1"
"HUT","c1cc[nH]c1"
"AGJ","CC(N)=O"
"3O2","CC(N)=O"
"CM4","c1ccccc1"
"CM4","c1ccc2c(c1)CCCO2"
"430","CC(N)=O"
"W68","c1ccccc1"
"FD4","CC(N)=O"
"FD4","c1ccc2ccccc2c1"
"X92","CC(N)=O"
"FD4","NCC=O"
"430","c1ccc2[nH]cnc2c1"
"KAF","CC(N)=O"
"33N","CC(N)=O"
"430","c1c[nH]cn1"
"KAF","NCC=O"
"KAF","c1ccccc1"
"430","c1ccccc1"
"430","c1ccsc1"
"SPG","c1c[nH]cn1"
"SPG","O=P(O)(O)O"
"W68","c1ccncc1"
"8NY","c1ccccc1"
"8NY","c1cn[nH]c1"
"GBO","CC(N)=O"
"33N","c1ccccc1"
"33N","c1ccncc1"
"8ZB","Nc1ncnc2nc[nH]c12"
"8ZB","c1c[nH]cn1"
"3JQ","CC(N)=O"
"3JQ","NCC=O"
"3JQ","c1ccccc1"
"FD4","c1ccccc1"
"FD4","C1CNCCN1"
