"SMILES","COUNT(*)"
"c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1",11
"c1ccc(CN2CCCCC2)cc1",11
"c1ccc(C2CC2)cc1",11
"c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1",11
"O=C(NCc1ccccc1OC(=O)c1ccccc1)c1ccccc1",10
"O=C1Nc2ccccc2C1=O",10
"O=C(Nc1ccccc1)[C@H](C1CCCCC1)n1c(-c2ccccc2)nc2ccccc21",10
"c1ccc(-c2ccnc3ccccc23)cc1",10
"c1cnccn1",10
"C1CC[C@@H](O[C@H]2CCCOC2)OC1",10
"c1ccc(-n2cccc2)cc1",10
"O=C(CCc1ccccc1)NCCc1ccccc1",10
"C(#Cc1cncnc1)Cc1cccc(-c2ccccc2)c1",10
"C=C1CCC(=CC=C2CCCC3CCC[C@@H]23)CC1",10
"O=C1CCN([C@@H]2CCCO2)C(=O)N1",10
"S=C(NN=Cc1ccccc1)N[C@H]1CCCCO1",10
"O=c1ccn([C@H]2CCCN(Cc3cccc(Oc4ccccc4)c3)C2)c(=O)[nH]1",10
"c1ccc(Cc2nc3cncnc3[nH]2)cc1",10
"O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@H]3O[C@H]1CCCCO1",10
"c1ccc(S[C@@H]2C[C@H](n3cc(-c4ccccc4)nn3)CCO2)cc1",10
"c1ccc2c(c1)OCCO2",10
"O=c1[nH]c(=O)n(Cc2ccccc2)cc1NS(=O)(=O)c1ccccc1",10
"S=c1cccc[nH]1",10
"c1ccc(N2CCNCC2)cc1",9
"O=C(c1ccccc1)N1Cc2ccccc2C1",9
"c1ncc2ccn([C@@H]3CCCO3)c2n1",9
"c1ccc(Oc2ccccn2)cc1",9
"O=C(Nc1ccccc1)c1ccc[nH]1",9
"c1ccc(-c2nnn[nH]2)cc1",9
"O=C1CCc2cc(NS(=O)(=O)Cc3ccccc3)ccc2N1",9
"c1ccc(-c2conc2-c2ccccc2)cc1",9
"O=C(NCCc1ccccc1)OCc1ccccc1",9
"O=c1[nH]cnc2[nH]ccc12",9
"C(C#Cc1ccccc1)#Cc1ccccc1",9
"O=C1CCC(=O)N1",9
"O=C1CCCCO1",9
"c1ccc2c(c1)CCCC2",9
"C1CC[C@@H]2CC[C@@H]3[C@H]4CCCC4CC[C@H]3C2C1",9
"O=C1CCCCN1",9
"c1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1",9
"O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1",9
"c1ccc2c(c1)CC[C@H]1[C@H]3CCCC3CC[C@@H]21",9
"O=S1(=O)NCNc2ccccc21",9
"c1ccc(-c2ncncn2)cc1",9
"O=C(C=Cc1cccc(Cc2cncnc2)c1)N1Cc2ccccc2C=N1",9
