"CHEM_COMP_ID"
"01A"
"01K"
"0AF"
"0ET"
"0HG"
"0HH"
"0UM"
"0WD"
"0XU"
"0Y0"
"0Y1"
"0Y2"
"18W"
"1C4"
"1CV"
"1CZ"
"1DG"
"1HA"
"1JO"
"1JP"
"1R4"
"1TP"
"1TY"
"1U0"
"1VU"
"1XE"
"1YJ"
"29P"
"2CP"
"2MD"
"2NE"
"2TP"
"2TY"
"36A"
"37H"
"3AA"
"3CD"
"3CP"
"3GC"
"3H9"
"3HC"
"48T"
"4AB"
"4CA"
"4CO"
"4IK"
"4LS"
"4LU"
"4YP"
"5AU"
"5GY"
"62X"
"6FA"
"6HE"
"6NR"
"6V0"
"76H"
"76J"
"76K"
"76L"
"76M"
"7AP"
"7HE"
"8EF"
"8EL"
"8EO"
"8FL"
"8ID"
"8JD"
"8PA"
"8Z2"
"A3D"
"ABY"
"ACO"
"AGQ"
"AHE"
"AMX"
"AP0"
"ASC"
"AT5"
"ATA"
"B12"
"BCA"
"BCO"
"BHS"
"BIO"
"BOB"
"BSJ"
"BTI"
"BTN"
"BYC"
"BYG"
"BYT"
"C2F"
"CA3"
"CA5"
"CA6"
"CA8"
"CAA"
"CAJ"
"CAO"
"CCH"
"CIC"
"CMC"
"CMX"
"CNC"
"CND"
"CO6"
"CO8"
"COA"
"COB"
"COD"
"COF"
"COH"
"COM"
"COO"
"COT"
"COW"
"COY"
"COZ"
"D7K"
"DCA"
"DCC"
"DDH"
"DG1"
"DHE"
"DN4"
"DPM"
"DTB"
"EAD"
"EEM"
"EN0"
"ENA"
"EPY"
"ESG"
"F43"
"FA8"
"FAA"
"FAB"
"FAD"
"FAE"
"FAM"
"FAO"
"FAS"
"FCG"
"FCX"
"FDA"
"FDE"
"FED"
"FFO"
"FMI"
"FMN"
"FNR"
"FNS"
"FON"
"FOZ"
"FRE"
"FSH"
"FYN"
"G27"
"GBI"
"GBP"
"GBX"
"GDN"
"GDS"
"GF5"
"GGC"
"GIP"
"GNB"
"GPR"
"GPS"
"GRA"
"GS8"
"GSB"
"GSF"
"GSH"
"GSM"
"GSN"
"GSO"
"GTB"
"GTD"
"GTS"
"GTX"
"GTY"
"GVX"
"H2B"
"H4B"
"HAG"
"HAS"
"HAX"
"HBI"
"HCC"
"HDD"
"HDE"
"HEA"
"HEB"
"HEC"
"HEM"
"HIF"
"HMG"
"HSC"
"HTL"
"HXC"
"IBG"
"ICY"
"IRF"
"ISW"
"JM2"
"JM5"
"JM7"
"K15"
"L9X"
"LEE"
"LNC"
"LPA"
"LPB"
"LZ6"
"M43"
"M6T"
"MCA"
"MCD"
"MCN"
"MDE"
"MDO"
"MGD"
"MH0"
"MLC"
"MNH"
"MNR"
"MPL"
"MQ7"
"MSS"
"MTE"
"MTQ"
"MTV"
"MYA"
"N01"
"N1T"
"N3T"
"NA0"
"NAD"
"NAE"
"NAI"
"NAJ"
"NAP"
"NAQ"
"NAX"
"NBD"
"NBP"
"NDC"
"NDE"
"NDO"
"NDP"
"NHD"
"NHM"
"NHQ"
"NHW"
"NMX"
"NOP"
"NPL"
"NPW"
"ODP"
"OXK"
"P1H"
"P2Q"
"P3Q"
"P5F"
"PAD"
"PCD"
"PDP"
"PLP"
"PLR"
"PMP"
"PNS"
"PP9"
"PQQ"
"PXP"
"PZP"
"R1T"
"RBF"
"RFL"
"RGE"
"S0N"
"S1T"
"SA8"
"SAD"
"SAE"
"SAH"
"SAM"
"SCA"
"SCD"
"SCO"
"SDX"
"SFD"
"SFG"
"SH0"
"SHT"
"SMM"
"SND"
"SOP"
"SRM"
"SX0"
"T1G"
"T5X"
"T6F"
"TAD"
"TAP"
"TC6"
"TD6"
"TD7"
"TD8"
"TD9"
"TDK"
"TDL"
"TDM"
"TDP"
"TDT"
"TDW"
"TGG"
"THD"
"THF"
"THG"
"THH"
"THV"
"THW"
"THY"
"TOQ"
"TP7"
"TP8"
"TPP"
"TPQ"
"TPU"
"TPW"
"TPZ"
"TQQ"
"TRQ"
"TS5"
"TT8"
"TXD"
"TXE"
"TXP"
"TXZ"
"TYQ"
"TYY"
"TZD"
"UAH"
"UQ1"
"UQ2"
"UQ5"
"UQ6"
"VWW"
"WCA"
"WSD"
"WWF"
"XAX"
"XP8"
"XP9"
"Y7Y"
"YNC"
"ZBF"
"ZEM"
"ZID"
"ZNH"
"ZOZ"
